,Anime,Genre,Description,Studio,Year,Rating
10,Monster Musume no Oishasan,"['Comedy', 'Fantasy', 'Romance', 'Ecchi']","After years of conflict, humans and monsters have settled their differences and are now at peace. This post-war era led to the foundation of Lindworm—a town which has since become the focal point of racial harmony.

As a human doctor specializing in monster biology, Glenn Litbeit runs a small clinic alongside his partner, Saphentite Neikes, who is a half-snake monster known as a lamia. He uses his knowledge to tend to any monsters who seek his aid. Whatever affliction, concern, or injury it may be, he will always be there, ready to help.

[Written by MAL Rewrite]",Arvo Animation,"Jul 12, 2020",
11,Peter Grill to Kenja no Jikan,"['Comedy', 'Fantasy', 'Ecchi']","After gaining the title of the strongest warrior in the world, Peter Grill has finally proven his worth and is ready to take the hand of his beloved senior, the beautiful and innocent Luvelia Sanctos. Peter expects to have a healthy relationship with her, despite some objections from her father.

Unfortunately, this dream quickly breaks apart as news of his grand victory spreads among the womenfolk of other races—ogres, orcs, elves, and others—some of them even vying for his seed to produce offspring blessed with his might. To avoid betraying the trust of his cherished Luvelia and causing a scandal, Peter strives to avoid other women's salacious advances. However, accomplishing such a feat with so many alluring women on his trail is easier said than done.

[Written by MAL Rewrite]",Wolfsbane,"Jul 11, 2020",
12,Dokyuu Hentai HxEros,"['Action', 'Comedy', 'Supernatural', 'Ecchi']","Five years ago, alien beings known as the ""Kiseichuu'' invaded the world. With the species endangered, the Kiseichuu are determined to take over Earth through a deadly plan that would gradually wipe out the human race: take away humanity's sexual drive using various methods, letting them die out. In response to the Kiseichuus' scheme, the HxEros device was developed—a powerful weapon that only those with high levels of erotic energy can utilize at its maximum capacity. 

Retto Enjou, a high schooler harboring an immense hatred toward the Kiseichuu, joins a group of HxEros users to fight against them and protect humankind. With their gear reliant on erotic energy as a source of power, the team must work together to maintain high levels of libido to ensure their readiness for combat at any given time. Moreover, as he lives in a house full of lustful girls, Enjou should not expect a shortage of power anytime soon.

[Written by MAL Rewrite]",Project No.9,"Jul 4, 2020",
13,No Guns Life 2nd Season,"['Action', 'Drama', 'Sci-Fi']",Second half of No Guns Life.,Madhouse,"Jul 10, 2020",
14,Gibiate,"['Action', 'Fantasy', 'Horror']","The story takes place in Japan. The year is 2030 and Earth has been completely overrun by a viral disease named ""Gibia"" that turns infected people into various different monsters, based on their age, sex, and race.

A samurai and a ninja from the early Edo period travel together through time and arrive in a ruined Japan to aid a professor working on a cure for the virus.

Together, they fight countless Gibia monsters, outlaws, and other fierce foes on their journey to save mankind.",l-a-unch・BOX,"Jul 15, 2020",
15,Koi to Producer: EVOL×LOVE,"['Mystery', 'Romance', 'Sci-Fi']","After her father passed away, a young woman inherited his production company, Miracle Entertainment, along with its most successful program, ""Miracle Finder."" In recent years, however, the show has fallen off the radar and it is now mostly forgotten. In an attempt to save the show from being canceled, this young woman desperately tries to look for a unique topic to use as inspiration. She finds it in the form of ""Evol,"" a mysterious gene that has granted certain people special powers and is considered the next step in human evolution. But, as marvelous as this gene seems, its existence may lead to an unstoppable battle between humans for survival.

However, as she becomes more entangled with the strange world of the ""Evolvers,"" her life is suddenly disturbed by the arrival of four men: the cheerful idol Kira; the neuroscientist and Loveland University professor, Simon; the stoic CEO of Loveland Financial Group and Miracle Entertainment's benefactor, Zen; and her high school upperclassman Haku, a former delinquent now working as a police officer.

As strange incidents begin to plague the city, will she be able to find out the truth about the ""Evol"" or ""Black Swan,"" the organization behind numerous attacks from ""Evolvers"" and possibly connected to her father's death? What is her part to play in its plan, and how are the men around her connected to it all?

[Written by MAL Rewrite]",MAPPA,"Jul 16, 2020",
16,Lapis Re:LiGHTs,Fantasy,"Tiara, a princess from the kingdom of Waleland, travels to the city of Mamkestell to attend a prestigious academy for those who practice magic like herself. After passing a test to prove her eligibility, Tiara reunites with her childhood friend Rosetta, who is also a student there. She then joins and meets Rosetta's group: the athletic Lavie, the reliable Ashley, and the bookish Lynette—all of whom Tiara quickly befriends.

In this institution, students are placed into one of three ranks based on their test score: group Noir being the highest, followed by Rouge and Lapis. Tiara's group is ranked Lapis, and if that wasn't enough, those who fail while ranked Lapis face expulsion. Realizing their dire situation, Tiara urges everyone to start taking their activities more seriously.

On top of this, Tiara has one more purpose for excelling at the academy: to become more like her elder sister, who is a very skilled singer. However, to reach the stage that she desires, she will have to overcome many challenges, along with her companions, as she continues her magical journey.

[Written by MAL Rewrite]",Yokohama Animation Lab,"Jul 4, 2020",
17,Muhyo to Rouji no Mahouritsu Soudan Jimusho 2nd Season,"['Action', 'Comedy', 'Drama', 'Mystery', 'Supernatural']",Second season of Muhyo to Rouji no Mahouritsu Soudan Jimusho.,Studio Deen,"Jul 7, 2020",
18,Ninja Collection,"['Horror', 'Supernatural']","Set in modern-day Tokyo where dreams and desires are afloat, a group of ninjas called ""Toukeshuu"" is set to stop the spread of ""darkness"" that prevails in the world using ancient techniques passed down through generations.

(Source: MAL News)",DRAWIZ,"Jul 13, 2020",
19,Umayon,Comedy,"It's a ""pop"" and cute everyday anime based on the 4-koma manga featuring the characters from Uma Musume: Pretty Derby.",DMM.futureworks,"Jul 7, 2020",
20,Chou Futsuu Toshi Kashiwa Densetsu R,"['Comedy', 'Fantasy']","A gag anime set in Kashiwa, featuring high school girls and mysterious creatures.

(Source: Chou Futsuu Toshi Kashiwa Densetsu Wiki)",Super Normal Studio,"Jul 6, 2020",
21,Arad: Gyakuten no Wa,"['Action', 'Adventure', 'Comedy', 'Fantasy']",Sequel to Arad: Suming Zhi Men.,LIDENFILMS,"Jul 4, 2020",
22,Get Up! Get Live! #Geragera,"['Comedy', 'Slice of Life']","The story of the ""voice actor x 2D entertainer"" project centers on aspiring comedian entertainers who all gather at SSS, a talent agency for comedians. The story portrays the friction and jealousy in their rivaling careers, as well as their admiration towards industry veterans, their disappointments, and the obstacles to their success as they aspire to become the greatest entertainers in Japan and the world.

(Source: ANN)",Spell Bound,"Jul 11, 2020",
23,Hulaing Babies Aratame: Staying Babies,"['Comedy', 'Slice of Life']","The girls formed a hula club but the new coronavirus disease (COVID-19) has halted further club activity. It will outline various preventative measures against the virus.

(Source: AniDB)",Fukushima Gaina,"Jun 10, 2020",
24,Taeko no Nichijou 2nd Season,Slice of Life,Sequel of Taeko no Nichijou.,DLE,"Jul 1, 2020",
25,One Piece,"['Action', 'Adventure', 'Fantasy']","Gol D. Roger was known as the ""Pirate King,"" the strongest and most infamous being to have sailed the Grand Line. The capture and execution of Roger by the World Government brought a change throughout the world. His last words before his death revealed the existence of the greatest treasure in the world, One Piece. It was this revelation that brought about the Grand Age of Pirates, men who dreamed of finding One Piece—which promises an unlimited amount of riches and fame—and quite possibly the pinnacle of glory and the title of the Pirate King.

Enter Monkey D. Luffy, a 17-year-old boy who defies your standard definition of a pirate. Rather than the popular persona of a wicked, hardened, toothless pirate ransacking villages for fun, Luffy's reason for being a pirate is one of pure wonder: the thought of an exciting adventure that leads him to intriguing people and ultimately, the promised treasure. Following in the footsteps of his childhood hero, Luffy and his crew travel across the Grand Line, experiencing crazy adventures, unveiling dark mysteries and battling strong enemies, all in order to reach the most coveted of all fortunes—One Piece.

[Written by MAL Rewrite] ",Toei Animation,"Oct 20, 1999",8.65
26,Black Clover,"['Action', 'Comedy', 'Fantasy']","Asta and Yuno were abandoned at the same church on the same day. Raised together as children, they came to know of the ""Wizard King""—a title given to the strongest mage in the kingdom—and promised that they would compete against each other for the position of the next Wizard King. However, as they grew up, the stark difference between them became evident. While Yuno is able to wield magic with amazing power and control, Asta cannot use magic at all and desperately tries to awaken his powers by training physically.

When they reach the age of 15, Yuno is bestowed a spectacular Grimoire with a four-leaf clover, while Asta receives nothing. However, soon after, Yuno is attacked by a person named Lebuty, whose main purpose is to obtain Yuno's Grimoire. Asta tries to fight Lebuty, but he is outmatched. Though without hope and on the brink of defeat, he finds the strength to continue when he hears Yuno's voice. Unleashing his inner emotions in a rage, Asta receives a five-leaf clover Grimoire, a ""Black Clover"" giving him enough power to defeat Lebuty. A few days later, the two friends head out into the world, both seeking the same goal—to become the Wizard King!

[Written by MAL Rewrite]",Pierrot,"Oct 3, 2017",8.12
27,Boruto: Naruto Next Generations,"['Action', 'Adventure', 'Fantasy']","Following the successful end of the Fourth Shinobi World War, Konohagakure has been enjoying a period of peace, prosperity, and extraordinary technological advancement. This is all due to the efforts of the Allied Shinobi Forces and the village's Seventh Hokage, Naruto Uzumaki. Now resembling a modern metropolis, Konohagakure has changed, particularly the life of a shinobi. Under the watchful eye of Naruto and his old comrades, a new generation of shinobi has stepped up to learn the ways of the ninja.

Boruto Uzumaki is often the center of attention as the son of the Seventh Hokage. Despite having inherited Naruto's boisterous and stubborn demeanor, Boruto is considered a prodigy and is able to unleash his potential with the help of supportive friends and family. Unfortunately, this has only worsened his arrogance and his desire to surpass Naruto which, along with his father's busy lifestyle, has strained their relationship. However, a sinister force brewing within the village may threaten Boruto's carefree life.

New friends and familiar faces join Boruto as a new story begins in Boruto: Naruto Next Generations.

[Written by MAL Rewrite]",Pierrot,"Apr 5, 2017",
28,Shokugeki no Souma: Gou no Sara,"['Gourmet', 'Ecchi']","Thanks to Souma Yukihira, Erina Nakiri, and the rebel forces overthrowing the regime of Azami Nakiri—the previous school director—and the former Elite Ten, Tootsuki Culinary Academy is back in order. However, its students have one more great battle ahead of them: the BLUE, a competition where young chefs seeking world-class fame compete. Faced with new trials and rivals, Souma and his friends will fight to conquer the BLUE and to defeat Asahi Saiba, the leader of an underworld organization of chefs known as Noir, who once defeated Souma and his father in a Shokugeki.

[Written by MAL Rewrite]",J.C.Staff,"Apr 11, 2020",
29,Fruits Basket 2nd Season,"['Drama', 'Romance', 'Supernatural']","A year has passed since Tooru Honda began living in the Souma residence, and she has since created stronger relationships with its inhabitants Shigure, Kyou, and Yuki. She has also grown closer to the rest of the Souma family and has become familiar with their ancestral secret, having helped them with many of their personal issues. The closer Tooru gets, however, the more she begins to realize that their secret holds a darker truth than she first presumed.

Summer is approaching and Tooru is invited to spend her days with the Soumas, mainly Kyou and Yuki. Tooru wishes for an easy-going vacation, but her close relationships with the two boys and the rest of the Soumas may prove to cause trouble. As they grow more intimate, their carefree time together is hindered by older hardships and feelings from the past that begin to resurface. The Eternal Banquet also dawns on the members of the zodiac, and they must tend to their duties alongside the unnerving head of the family, Akito Souma.

With the banquet approaching and a plethora of feelings to be solved, will Tooru's life with the Soumas remain peaceful, or will she find herself in a situation from which she cannot escape?

[Written by MAL Rewrite]",TMS Entertainment,"Apr 7, 2020",8.57
30,Fugou Keiji: Balance:Unlimited,"['Comedy', 'Mystery']","Daisuke Kanbe, a man of extraordinary wealth, is assigned to the Modern Crime Prevention Headquarters as a detective. It is there that he gets partnered with Haru Katou, a humane detective who values justice above all. The two are polar opposites, and their morals clash time and time again. Haru despises Daisuke for using monetary wealth to solve cases, as he believes that money isn't everything. The two will have to combine their efforts, however, to solve the mysteries that are coming their way.

[Written by MAL Rewrite]",CloverWorks,"Apr 10, 2020",
31,Detective Conan,"['Adventure', 'Comedy', 'Mystery']","Shinichi Kudou, a high school student of astounding talent in detective work, is well known for having solved several challenging cases. One day, when Shinichi spots two suspicious men and decides to follow them, he inadvertently becomes witness to a disturbing illegal activity. Unfortunately, he is caught in the act, so the men dose him with an experimental drug formulated by their criminal organization, leaving him to his death. However, to his own astonishment, Shinichi lives to see another day, but now in the body of a seven-year-old child.

Perfectly preserving his original intelligence, he hides his real identity from everyone, including his childhood friend Ran Mouri and her father, private detective Kogorou Mouri. To this end, he takes on the alias of Conan Edogawa, inspired by the mystery writers Arthur Conan Doyle and Ranpo Edogawa.

Detective Conan follows Shinichi who, as Conan, starts secretly solving the senior Mouri's cases from behind the scenes with his still exceptional sleuthing skills, while covertly investigating the organization responsible for his current state, hoping to reverse the drug's effects someday.

[Written by MAL Rewrite]",TMS Entertainment,"Jan 8, 1996",8.16
32,Toaru Kagaku no Railgun T,"['Action', 'Sci-Fi']","The Daihasei Festival has begun, and that of course means that Tokiwadai Middle School—a prestigious all-girls' middle school—is competing too. Despite the participation of the ""Ace of Tokiwadai,"" Mikoto Misaka, the other students who are participating are still putting their utmost effort into winning, no matter how impossible the feat may seem against her overwhelming might.

However, not all is fun and games. Due to the festival, Academy City opens to the outside world, and various factions have begun plotting ways to infiltrate the city. Misaka appears to be on their radar, and as the festival proceeds, people lurking from the shadows begin to emerge...

Toaru Kagaku no Railgun T brings back the Tokiwadai Ace and her friends as they dive deeper into the dark side of Academy City. From terrorist attacks to ruthless underground projects, anything is possible in this city.

[Written by MAL Rewrite]",J.C.Staff,"Jan 10, 2020",8.19
33,Ahiru no Sora,Sports,"Lacking what is considered the most important asset in basketball, Sora Kurumatani has struggled with his short height since the inception of his love for the game. Despite missing this beneficial aspect, Sora's unwavering drive never allowed his small stature to dictate his ability to play, believing strongly in trying his hardest and persistently practicing to prove his capability.

In hopes of satisfying his mother's wishes, Sora enters Kuzuryuu High School to become a member of the basketball club and compete wholeheartedly in tournaments. However, Sora is disappointed to find out that the boy's basketball team is nothing but a retreat for punks who have no interest in the sport. Sora also comes to learn that brothers Chiaki and Momoharu Hanazono—whom he becomes acquainted with—have also lost their once spirited motivation to play. 

Determined to revive the basketball team, Sora challenges the boys to a match against him, where his quick feet and swift movements overwhelm the group. Gradually affected by Sora's impressive skills, sheer effort, and tireless devotion to basketball, the boys unexpectedly find their burnt-out passion for the game rekindling once again.

[Written by MAL Rewrite]",Diomedéa,"Oct 2, 2019",
34,Appare-Ranman!,Comedy,"No dream is too big for Appare Sorrano, a socially-awkward inventor living in a small rural town in Japan in the late 19th century. Fascinated since childhood by the creation of steamships that can connect people across great distances, he's learned to make machines of all kinds from various scientific texts. His goal is to sail across the sea, beyond the sky, and ultimately, to the other side of the moon.

Unfortunately, through a string of events, Appare finds himself stranded in the middle of the sea on his mini steamship. Floating alongside him is a skilled but cowardly samurai, Kosame Ishikki, who was tasked to keep his eccentric behavior in check. Just when all hope seems lost, a large steamship saves them and takes them to Los Angeles. With no money or plans, they decide to participate in the ""Trans-America Wild Race,"" which gives Appare the chance to build his own automobile, and Kosame the opportunity to use the cash prize to return home. However, against rival racers and unknown challenges residing in the wilderness, just how far will this adventure take Appare and Kosame?

[Written by MAL Rewrite]",P.A. Works,"Apr 10, 2020",
35,Crayon Shin-chan,"['Comedy', 'Slice of Life', 'Ecchi']","There is no such thing as an uneventful day in the life of kindergartener Shinnosuke ""Shin-chan"" Nohara. The five-year-old is a cut above the most troublesome, perverted, and shameless kid one can imagine. Shin-chan is almost always engaged in questionable activities such as forgetting about a friend during hide and seek, sumo wrestling for love, performing various gags including the notorious ""elephant"" in public, and flirting with college girls. The exemplary troublemaker has done it all and has no plans to stop anytime soon.

Crayon Shin-chan follows the daily shenanigans of Shin-chan with his group of friends, parading around as the self-proclaimed ""Kasukabe Defense Force."" The adults witnessing these shenanigans unfold can't help but adore Shin-chan, as he keeps them entertained while unintentionally solving their daily troubles through his mindless antics—leaving himself as the only problem they do not know what to do with.

[Written by MAL Rewrite]",Shin-Ei Animation,"Apr 13, 1992",
36,Kingdom 3rd Season,Action,"Following the successful Sanyou campaign, the Qin army, including 1,000-Man Commander Xin, inches ever closer to fulfilling King Ying Zheng's dream of unifying China. With a major geographical foothold in the state of Wei now under its control, Qin sets its sights eastward toward the remaining warring states.

Meanwhile Li Mu—an unparalleled strategist and the newly appointed prime minister of the state of Zhao—has taken advantage of Zhao's temporary truce with Qin to negotiate with the other states without interruption. Seemingly without warning, Ying Zheng receives news that armies from the states of Chu, Zhao, Wei, Han, Yan, and Qi have crossed into Qin territory. Realizing too late the purpose behind Li Mu's truce with Qin, Zheng quickly gathers his advisors to devise a plan to address the six-state coalition army on their doorstep. For the first time in history, the state of Qin faces complete destruction and must use every resource and strategy at their disposal to prevent themselves from being wiped off the map.

[Written by MAL Rewrite]
",Pierrot,"Apr 6, 2020",8.81
37,Houkago Teibou Nisshi,"['Comedy', 'Slice of Life', 'Sports']","Hina Tsurugi and her family have just moved to a quaint seaside town. Hoping to savor the sight of the peaceful ocean, Hina stumbles upon a girl named Yuuki Kuroiwa—an upperclassman at her new school—who invites Hina to join her in fishing. Hina reels in an octopus, which falls onto her; being afraid of bugs and big creatures, she panics and begs Yuuki to remove it from her. Yuuki sees this as an opportunity to force Hina to join the school's Breakwater Club—a club where members gather, catch, and eat various types of marine life as their main activity.

Although her attempts to refuse to join fail, Hina slowly begins to discover the hidden joy in fishing. Her view on the sport changes, now looking forward to all the delightful experiences she can take part in alongside her fellow club members.

[Written by MAL Rewrite]",Doga Kobo,"Apr 7, 2020",
38,Bungou to Alchemist: Shinpan no Haguruma,"['Adventure', 'Fantasy']","Famous writers throughout history find themselves being reincarnated by a mysterious, unseen entity known as the Alchemist. With their souls confined and bound to an expansive library, they are tasked by the Alchemist to jump into books to purify the pages of monsters called Taints. Along the way, they must also rescue and recruit fellow authors trapped within the very stories they themselves had written.

Although the writers take on new and powerful forms for this endeavor, some still maintain a semblance of who they once were, while others struggle to remember their pasts and the works they had penned. Despite there being no apparent end to their grand mission, they remain committed to the cause in hope of resolving the mystery behind their collective resurrection as well as questions that have haunted their former lives.

[Written by MAL Rewrite]",OLM,"Apr 4, 2020",
39,Gal to Kyouryuu,"['Comedy', 'Slice of Life']","Wasted from the night before, Kaede wakes up the next morning to find herself at home with a dinosaur she had brought along with her. The two start living together as an odd pair consisting of a typical gal girl and a mute dinosaur going about daily lives. Although not the most experienced paleontologist, Kaede begins to learn more about her new prehistoric roommate through a series of comedic gags and adventures.

[Written by MAL Rewrite]",Kamikaze Douga,"Apr 5, 2020",
40,IDOLiSH7: Second Beat!,Drama,"Following their performance at the Black or White event, the idol group IDOLiSH7 is at the height of its popularity, with offers for various concerts and work coming in every day, much to the joy of the seven boys and their manager. However, as their fame continues to rise, Riku Nanase's health begins worsening due to the heavy workload.

With the gigantic idol duo Re:vale showing interest in the group and the reopening event of the Zero Arena coming up, IDOLiSH7: Second Beat follows IDOLiSH7 as they not only struggle to adapt to the challenges of the idol life but also to face their personal troubles, all while continuously meeting the expectations of their treasured fans.

[Written by MAL Rewrite]",TROYCA,"Apr 5, 2020",8.15
41,Major 2nd (TV) 2nd Season,"['Comedy', 'Drama', 'Sports']","After recovering from the inner struggles he faced in the past, Daigo Shigeno continues to play baseball and is now the captain of Fuurin Private Academy Middle School's baseball team. Alongside Mutsuko Sakura, his classmate from elementary school, he aims to lead the team to glory. However, due to unexpected circumstances, Fuurin's baseball team is left with only six members: Daigo, Mutsuko, Yayoi Sawa, Tao Sagara, Seira Kandori, and Hiromu Tanba. Left with mostly female players and lacking in experience, the team struggles to gain confidence and trust from the new recruits—Akira Nishina, Anita Kabashima, and Chisato Fujii. Facing challenges such as having no proper coach, problematic recruits, and a limited number of members, Daigo's resolution is put to the test as he tries to bring the team together in time to participate in their first ever tournament.

[Written by MAL Rewrite]
",OLM,"Apr 4, 2020",
